lga_name,lga_code,avg_revenue_per_active_listing,months_with_data,total_active_listings,neighbourhoods_count,male_population,female_population,total_population,male_percentage,female_percentage,median_age_persons,median_mortgage_repay_monthly,median_tot_hhd_inc_weekly,median_mortgage_repay_annual,median_tot_hhd_inc_annual,mortgage_to_income_ratio_pct
Mosman,15350,12162.201,10,52.0,1,13189,15290,28479,46.31,53.69,42.0,3000.0,2522.0,36000.0,131144.0,27.45
Hunters Hill,14100,10230.733333333334,6,21.0,1,6987,7016,14003,49.9,50.1,43.0,3033.0,2467.0,36396.0,128284.0,28.37
Woollahra,18500,10007.3225,8,77.0,1,25232,29009,54241,46.52,53.48,39.0,3200.0,2687.0,38400.0,139724.0,27.48
North Sydney,15950,8426.604444444445,9,91.0,1,31910,35744,67654,47.17,52.83,37.0,2600.0,2360.0,31200.0,122720.0,25.42
Lane Cove,14700,7013.843,10,44.0,1,17733,18313,36046,49.2,50.8,36.0,2600.0,2376.0,31200.0,123552.0,25.25
Waverley,18050,6061.4425,12,174.0,1,32485,34334,66819,48.62,51.38,35.0,3000.0,2308.0,36000.0,120016.0,30.0
Sydney,17200,5950.05125,8,201.0,1,107852,100530,208382,51.76,48.24,32.0,2499.0,1926.0,29988.0,100152.0,29.94
Willoughby,18250,5061.064545454546,11,108.0,1,35686,38624,74310,48.02,51.98,37.0,2877.0,2271.0,34524.0,118092.0,29.23
Randwick,16550,4345.833,10,195.0,1,69179,71482,140661,49.18,50.82,34.0,2600.0,1916.0,31200.0,99632.0,31.32
Parramatta,16260,4083.013,10,84.0,1,113158,112996,226154,50.04,49.96,34.0,2167.0,1759.0,26004.0,91468.0,28.43
Canada Bay,11520,3843.38,9,73.0,1,42348,45666,88014,48.12,51.88,36.0,2500.0,2061.0,30000.0,107172.0,27.99
Ryde,16700,3697.7316666666666,12,75.0,1,56509,59791,116300,48.59,51.41,36.0,2200.0,1786.0,26400.0,92872.0,28.43
Blacktown,10750,3694.7685714285712,7,17.0,1,167574,169390,336964,49.73,50.27,33.0,2150.0,1711.0,25800.0,88972.0,29.0
Burwood,11300,3237.3725,11,85.0,2,17785,19028,36813,48.31,51.69,33.0,2200.0,1569.0,26400.0,81588.0,32.36
Hornsby,14000,2535.41,10,37.0,1,69634,73027,142661,48.81,51.19,40.0,2400.0,2121.0,28800.0,110292.0,26.11
Liverpool,14900,2174.673333333333,9,29.0,1,101351,102975,204326,49.6,50.4,33.0,2123.0,1550.0,25476.0,80600.0,31.61
