lga_name,lga_code,avg_revenue_per_active_listing,months_with_data,total_active_listings,median_age_persons
Mosman,15350,12162.201,10,52.0,42.0
Hunters Hill,14100,10230.733333333334,6,21.0,43.0
Woollahra,18500,10007.3225,8,77.0,39.0
North Sydney,15950,8426.604444444445,9,91.0,37.0
Lane Cove,14700,7013.843,10,44.0,36.0
Waverley,18050,6061.4425,12,174.0,35.0
Sydney,17200,5950.05125,8,201.0,32.0
Willoughby,18250,5061.064545454546,11,108.0,37.0
Randwick,16550,4345.833,10,195.0,34.0
Parramatta,16260,4083.013,10,84.0,34.0
Canada Bay,11520,3843.38,9,73.0,36.0
Ryde,16700,3697.7316666666666,12,75.0,36.0
Blacktown,10750,3694.7685714285712,7,17.0,33.0
Burwood,11300,3237.3725,11,85.0,33.0
Hornsby,14000,2535.41,10,37.0,40.0
Liverpool,14900,2174.673333333333,9,29.0,33.0
