property_type,room_type,accommodates,total_stays,avg_revenue_per_active_listing,total_active_listings,months_with_data,stays_rank,revenue_rank
HOUSE,ENTIRE HOME/APT,9,1004.0,15214.89,56.0,1,1,61
HOUSE,PRIVATE ROOM,2,983.0,2141.83,40.0,1,2,389
ENTIRE APARTMENT,ENTIRE HOME/APT,3,893.0,4720.72,32.0,1,3,224
GUEST SUITE,PRIVATE ROOM,2,685.0,1619.31,72.0,1,4,446
PRIVATE ROOM IN GUEST SUITE,PRIVATE ROOM,2,682.0,1399.32,38.0,1,5,473
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,1,672.0,1236.24,29.0,1,6,496
TOWNHOUSE,ENTIRE HOME/APT,4,619.0,5699.69,36.0,1,7,182
APARTMENT,PRIVATE ROOM,2,611.0,1964.33,24.0,1,8,413
ENTIRE HOUSE,ENTIRE HOME/APT,3,582.0,3578.76,25.0,1,9,272
CONDOMINIUM,PRIVATE ROOM,2,582.0,670.9,59.0,1,10,583
GUESTHOUSE,ENTIRE HOME/APT,4,567.0,2043.03,37.0,1,11,400
APARTMENT,PRIVATE ROOM,3,554.0,821.25,64.0,1,12,563
TOWNHOUSE,ENTIRE HOME/APT,6,512.0,5500.56,39.0,1,13,188
CONDOMINIUM,ENTIRE HOME/APT,2,509.0,2635.52,29.0,1,14,336
APARTMENT,ENTIRE HOME/APT,8,488.0,3178.73,49.0,1,15,296
BOUTIQUE HOTEL,PRIVATE ROOM,2,474.0,1615.29,65.0,1,16,448
HOUSE,PRIVATE ROOM,1,471.0,1261.05,20.0,1,17,491
LOFT,ENTIRE HOME/APT,2,435.0,2564.46,24.0,1,18,344
VILLA,ENTIRE HOME/APT,8,422.0,48576.1,21.0,1,19,18
APARTMENT,ENTIRE HOME/APT,7,403.0,2617.18,34.0,1,20,339
APARTMENT,PRIVATE ROOM,4,395.0,1314.68,41.0,1,21,485
APARTMENT,PRIVATE ROOM,1,327.0,1839.27,11.0,1,22,420
CONDOMINIUM,ENTIRE HOME/APT,4,317.0,2607.0,22.0,1,23,340
