host_id,lgas_count,total_listings,total_stays,avg_price_across_lgas,distribution_type,lga_names,lga_codes
7409213,2,1729.0,45670.0,650.51770345934,DISTRIBUTED,"WAVERLEY, WOOLLAHRA","18050, 18500"
16357713,1,1355.0,32986.0,654.3126715867159,CONCENTRATED,NORTHERN BEACHES,15990
15739069,3,1256.0,30119.0,186.73804128292042,DISTRIBUTED,"LANE COVE, SYDNEY, WILLOUGHBY","14700, 17200, 18250"
15469257,1,1246.0,4035.0,196.9185473515249,CONCENTRATED,SYDNEY,17200
2450066,1,1195.0,24840.0,480.6671548117155,CONCENTRATED,RANDWICK,16550
235137306,2,850.0,14296.0,1215.715154642423,DISTRIBUTED,"INNER WEST, NORTH SYDNEY","14170, 15950"
113874,1,824.0,20467.0,666.3415412621359,CONCENTRATED,WOOLLAHRA,18500
288743418,1,820.0,9414.0,58.11393902439024,CONCENTRATED,SYDNEY,17200
279001183,1,770.0,13577.0,201.6935064935065,CONCENTRATED,SYDNEY,17200
36410227,2,734.0,11575.0,235.9054498104718,DISTRIBUTED,"BAYSIDE, INNER WEST","11100, 14170"
148607219,1,653.0,10911.0,179.60490045941808,CONCENTRATED,LANE COVE,14700
41215678,1,618.0,6137.0,1094.4967637540453,CONCENTRATED,WOOLLAHRA,18500
24721535,1,604.0,13082.0,840.0397350993378,CONCENTRATED,NORTHERN BEACHES,15990
3046924,1,539.0,8912.0,1732.0651948051948,CONCENTRATED,SYDNEY,17200
70570922,1,538.0,3248.0,166.38765799256507,CONCENTRATED,SYDNEY,17200
189112177,2,498.0,9918.0,170.1864936061381,DISTRIBUTED,"SYDNEY, WAVERLEY","17200, 18050"
225489194,1,496.0,13848.0,125.80443548387096,CONCENTRATED,SYDNEY,17200
56899852,1,458.0,12063.0,367.88707423580786,CONCENTRATED,WAVERLEY,18050
101139031,1,446.0,10783.0,248.66656950672646,CONCENTRATED,WAVERLEY,18050
167072223,1,434.0,12226.0,334.1303686635945,CONCENTRATED,RANDWICK,16550
100552972,1,400.0,7357.0,1217.175,CONCENTRATED,NORTHERN BEACHES,15990
301753450,1,398.0,6378.0,179.8819849246231,CONCENTRATED,BAYSIDE,11100
213432683,1,393.0,1988.0,255.40966921119593,CONCENTRATED,SYDNEY,17200
95214788,1,385.0,8746.0,611.5847792207792,CONCENTRATED,NORTHERN BEACHES,15990
23717928,1,369.0,4436.0,1650.3023577235772,CONCENTRATED,NORTHERN BEACHES,15990
293274101,1,369.0,5590.0,44.76769647696477,CONCENTRATED,CUMBERLAND,12380
16026854,1,359.0,5567.0,368.9108635097493,CONCENTRATED,SYDNEY,17200
27286333,1,359.0,8739.0,217.51016713091923,CONCENTRATED,SYDNEY,17200
43736801,1,352.0,7966.0,1063.0714204545454,CONCENTRATED,WAVERLEY,18050
159933426,1,351.0,10153.0,48.77777777777778,CONCENTRATED,RANDWICK,16550
261331217,1,337.0,6892.0,129.18780415430268,CONCENTRATED,SYDNEY,17200
226913216,2,331.0,5280.0,142.973129338692,DISTRIBUTED,"NORTH SYDNEY, SYDNEY","15950, 17200"
249002345,1,328.0,4634.0,119.96289634146342,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
167340072,2,321.0,1606.0,104.44848242811501,DISTRIBUTED,"BURWOOD, WILLOUGHBY","11300, 18250"
218321838,1,320.0,8983.0,129.965625,CONCENTRATED,INNER WEST,14170
91931192,2,313.0,1637.0,548.7602777777778,DISTRIBUTED,"NORTH SYDNEY, SYDNEY","15950, 17200"
225494456,1,313.0,5722.0,177.06389776357827,CONCENTRATED,GEORGES RIVER,12930
91932622,1,299.0,3312.0,162.22408026755852,CONCENTRATED,NORTHERN BEACHES,15990
21151187,1,256.0,6223.0,148.5066796875,CONCENTRATED,SYDNEY,17200
141468702,2,237.0,6907.0,103.90822784810126,DISTRIBUTED,"BAYSIDE, SYDNEY","11100, 17200"
108083073,2,234.0,4298.0,198.73051897184823,DISTRIBUTED,"NORTHERN BEACHES, SYDNEY","15990, 17200"
91961414,1,234.0,2804.0,177.8284188034188,CONCENTRATED,SYDNEY,17200
21385139,1,233.0,6885.0,254.88841201716738,CONCENTRATED,SYDNEY,17200
10441624,1,225.0,5760.0,211.8548888888889,CONCENTRATED,INNER WEST,14170
33325403,1,225.0,4338.0,162.7016,CONCENTRATED,SYDNEY,17200
14138978,3,224.0,4649.0,200.1326406926407,DISTRIBUTED,"NORTH SYDNEY, RANDWICK, SYDNEY","15950, 16550, 17200"
34923740,1,223.0,2716.0,48.15757847533632,CONCENTRATED,WAVERLEY,18050
277479503,1,221.0,3574.0,38.85067873303167,CONCENTRATED,SYDNEY,17200
14739318,1,220.0,5429.0,366.4940909090909,CONCENTRATED,WAVERLEY,18050
41348188,2,213.0,4445.0,167.73748890860693,DISTRIBUTED,"SYDNEY, WOOLLAHRA","17200, 18500"
4298915,1,210.0,3214.0,233.73133333333334,CONCENTRATED,SYDNEY,17200
281589768,1,206.0,1806.0,2965.4320388349515,CONCENTRATED,NORTHERN BEACHES,15990
102664004,3,205.0,2008.0,124.05466572769953,DISTRIBUTED,"BAYSIDE, CANADA BAY, SYDNEY","11100, 11520, 17200"
113180379,2,193.0,3132.0,168.50022701149425,DISTRIBUTED,"BAYSIDE, CANADA BAY","11100, 11520"
30826561,1,185.0,5249.0,284.37686486486484,CONCENTRATED,SYDNEY,17200
95962092,1,182.0,4363.0,205.4810989010989,CONCENTRATED,SYDNEY,17200
15193662,1,180.0,1295.0,208.31666666666666,CONCENTRATED,SYDNEY,17200
194230296,1,179.0,2024.0,2325.927374301676,CONCENTRATED,RANDWICK,16550
216159830,1,179.0,4409.0,237.54748603351956,CONCENTRATED,INNER WEST,14170
293526132,2,178.0,3079.0,293.2893743315508,DISTRIBUTED,"RANDWICK, SYDNEY","16550, 17200"
1936434,1,178.0,3312.0,107.78089887640449,CONCENTRATED,SYDNEY,17200
4729836,1,177.0,1525.0,57.92090395480226,CONCENTRATED,SYDNEY,17200
292060789,3,176.0,2592.0,101.76839869281046,DISTRIBUTED,"BAYSIDE, NORTH SYDNEY, RANDWICK","11100, 15950, 16550"
58939152,1,174.0,5215.0,160.76436781609195,CONCENTRATED,CANADA BAY,11520
201706548,1,171.0,274.0,59.92397660818713,CONCENTRATED,LANE COVE,14700
131580703,1,168.0,4554.0,273.4940476190476,CONCENTRATED,BAYSIDE,11100
318838419,1,168.0,3964.0,455.33755952380955,CONCENTRATED,SYDNEY,17200
160391756,1,167.0,5010.0,79.92892215568862,CONCENTRATED,RANDWICK,16550
173263432,1,167.0,3080.0,451.7365269461078,CONCENTRATED,NORTHERN BEACHES,15990
169795871,2,163.0,3291.0,278.80153256704983,DISTRIBUTED,"BAYSIDE, SYDNEY","11100, 17200"
148745808,1,158.0,1132.0,290.6872151898734,CONCENTRATED,MOSMAN,15350
76643839,1,157.0,3398.0,135.60509554140128,CONCENTRATED,NORTHERN BEACHES,15990
263144259,1,155.0,4001.0,56.79354838709678,CONCENTRATED,NORTH SYDNEY,15950
88800829,2,153.0,1966.0,300.4340707236842,DISTRIBUTED,"BATHURST REGIONAL, SYDNEY","10470, 17200"
21507368,1,151.0,4530.0,192.3112582781457,CONCENTRATED,SYDNEY,17200
7940457,1,150.0,1271.0,243.34,CONCENTRATED,RANDWICK,16550
318255082,2,148.0,3786.0,99.59190330477357,DISTRIBUTED,"BAYSIDE, SYDNEY","11100, 17200"
29291898,1,146.0,1420.0,41.842465753424655,CONCENTRATED,BAYSIDE,11100
255894977,1,145.0,965.0,139.44137931034481,CONCENTRATED,BURWOOD,11300
229925439,1,143.0,528.0,57.55944055944056,CONCENTRATED,NORTH SYDNEY,15950
237335836,1,143.0,2066.0,130.64335664335664,CONCENTRATED,SYDNEY,17200
285144090,1,143.0,596.0,195.56741258741258,CONCENTRATED,SYDNEY,17200
12363831,1,142.0,3347.0,122.92957746478874,CONCENTRATED,INNER WEST,14170
91403199,1,142.0,3930.0,80.34507042253522,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
242819234,1,140.0,1485.0,353.98164285714284,CONCENTRATED,WAVERLEY,18050
224249958,2,139.0,2196.0,135.21409565580618,DISTRIBUTED,"BAYSIDE, SYDNEY","11100, 17200"
38478183,1,138.0,2621.0,372.90942028985506,CONCENTRATED,NORTH SYDNEY,15950
21058208,1,137.0,3521.0,227.01459854014598,CONCENTRATED,WAVERLEY,18050
82545663,1,137.0,1023.0,115.25445255474453,CONCENTRATED,SYDNEY,17200
50798708,1,136.0,3748.0,161.38963235294116,CONCENTRATED,SYDNEY,17200
83630467,1,134.0,1215.0,45.64179104477612,CONCENTRATED,INNER WEST,14170
108189888,1,133.0,1905.0,139.11714285714285,CONCENTRATED,LANE COVE,14700
42440269,1,133.0,543.0,96.06015037593986,CONCENTRATED,INNER WEST,14170
137278159,4,132.0,2387.0,167.62827149537975,DISTRIBUTED,"CANADA BAY, INNER WEST, LANE COVE, SYDNEY","11520, 14170, 14700, 17200"
114419067,1,132.0,3638.0,149.53787878787878,CONCENTRATED,BAYSIDE,11100
228164763,1,132.0,3723.0,181.01522727272726,CONCENTRATED,INNER WEST,14170
24086133,1,132.0,420.0,119.41666666666667,CONCENTRATED,SYDNEY,17200
177764872,1,131.0,3529.0,84.93129770992367,CONCENTRATED,BAYSIDE,11100
219612559,1,130.0,3892.0,90.04615384615384,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
5595776,1,130.0,3804.0,57.0,CONCENTRATED,RANDWICK,16550
184967895,1,128.0,3840.0,213.6328125,CONCENTRATED,SYDNEY,17200
185794729,1,128.0,3840.0,169.088203125,CONCENTRATED,SYDNEY,17200
56307936,1,128.0,3812.0,121.03125,CONCENTRATED,BAYSIDE,11100
89433973,2,124.0,2478.0,143.49713114754098,DISTRIBUTED,"SYDNEY, WAVERLEY","17200, 18050"
94377709,1,121.0,1970.0,237.93504132231405,CONCENTRATED,SYDNEY,17200
178729132,3,119.0,1949.0,121.2719298245614,DISTRIBUTED,"BAYSIDE, INNER WEST, SYDNEY","11100, 14170, 17200"
218683294,1,119.0,1598.0,3773.5882352941176,CONCENTRATED,NORTHERN BEACHES,15990
158478514,1,117.0,2320.0,172.25641025641025,CONCENTRATED,WAVERLEY,18050
10599752,1,116.0,291.0,169.5880172413793,CONCENTRATED,NORTHERN BEACHES,15990
15635033,1,116.0,3480.0,99.23275862068965,CONCENTRATED,SYDNEY,17200
262383677,1,116.0,2899.0,23.982758620689655,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
27698380,1,116.0,3480.0,150.36818965517242,CONCENTRATED,NORTHERN BEACHES,15990
117548275,2,115.0,2768.0,152.0044191919192,DISTRIBUTED,"INNER WEST, SYDNEY","14170, 17200"
64824319,1,114.0,4.0,46.728070175438596,CONCENTRATED,SYDNEY,17200
206055251,1,113.0,1071.0,227.6662831858407,CONCENTRATED,NORTHERN BEACHES,15990
10438492,1,112.0,3360.0,189.74482142857144,CONCENTRATED,SYDNEY,17200
269689583,1,112.0,1671.0,1134.4107142857142,CONCENTRATED,NORTHERN BEACHES,15990
292913,1,112.0,367.0,261.5892857142857,CONCENTRATED,RANDWICK,16550
338905680,1,112.0,2154.0,3543.589285714286,CONCENTRATED,WOOLLAHRA,18500
297512659,2,111.0,1310.0,110.6673473541384,DISTRIBUTED,"BAYSIDE, NORTH SYDNEY","11100, 15950"
10469992,1,111.0,2646.0,106.8018018018018,CONCENTRATED,WAVERLEY,18050
157067539,1,111.0,3238.0,1015.3243243243244,CONCENTRATED,NORTHERN BEACHES,15990
125590978,1,110.0,867.0,248.16490909090908,CONCENTRATED,SYDNEY,17200
14736554,1,110.0,3300.0,79.32727272727273,CONCENTRATED,INNER WEST,14170
3882146,1,110.0,3235.0,317.9727272727273,CONCENTRATED,SYDNEY,17200
170110669,1,109.0,760.0,89.13761467889908,CONCENTRATED,WILLOUGHBY,18250
99141846,1,109.0,2230.0,866.7889908256881,CONCENTRATED,MOSMAN,15350
222530794,2,108.0,1764.0,129.21175,DISTRIBUTED,"GEORGES RIVER, SYDNEY","12930, 17200"
221961316,1,108.0,941.0,261.3240740740741,CONCENTRATED,NORTHERN BEACHES,15990
86333173,1,108.0,2302.0,123.63888888888889,CONCENTRATED,NORTH SYDNEY,15950
272628532,1,107.0,1217.0,92.57009345794393,CONCENTRATED,WILLOUGHBY,18250
311950225,1,107.0,2967.0,139.83177570093457,CONCENTRATED,SYDNEY,17200
312502014,1,106.0,1524.0,194.76415094339623,CONCENTRATED,BAYSIDE,11100
46815017,1,106.0,2150.0,133.5754716981132,CONCENTRATED,BAYSIDE,11100
1972133,1,105.0,942.0,131.6067619047619,CONCENTRATED,SYDNEY,17200
10132237,1,104.0,2008.0,431.7278846153846,CONCENTRATED,LANE COVE,14700
15885982,1,104.0,2714.0,144.30769230769232,CONCENTRATED,SYDNEY,17200
274347943,1,104.0,324.0,122.88461538461539,CONCENTRATED,SYDNEY,17200
295047727,1,104.0,632.0,203.4903846153846,CONCENTRATED,SYDNEY,17200
45947057,1,104.0,296.0,68.21153846153847,CONCENTRATED,BAYSIDE,11100
50174640,1,104.0,849.0,103.59615384615384,CONCENTRATED,SYDNEY,17200
181392570,1,102.0,3060.0,45.72549019607843,CONCENTRATED,BURWOOD,11300
229646942,1,102.0,3060.0,46.27450980392157,CONCENTRATED,SYDNEY,17200
317283121,1,102.0,2361.0,77.3529411764706,CONCENTRATED,SYDNEY,17200
10242424,1,101.0,801.0,257.1469306930693,CONCENTRATED,SYDNEY,17200
229484777,2,99.0,973.0,81.71198568872987,DISTRIBUTED,"CANTERBURY-BANKSTOWN, SYDNEY","11570, 17200"
28304255,2,99.0,2250.0,150.58883928571427,DISTRIBUTED,"SYDNEY, WAVERLEY","17200, 18050"
103385102,2,98.0,1966.0,332.01118675013043,DISTRIBUTED,"RANDWICK, WOOLLAHRA","16550, 18500"
185972034,1,98.0,2222.0,104.84255102040817,CONCENTRATED,SYDNEY,17200
