host_id,listing_id,lga_name,lga_code,avg_daily_price,avg_monthly_stays,avg_monthly_revenue,estimated_annual_revenue,days_with_data,median_mortgage_repay_annual,revenue_to_mortgage_ratio,mortgage_coverage_status
93443322,20010285,WILLOUGHBY,18250,11222.307692307691,27.76923076923077,336515.3076923077,4038183.6923076925,12,34524.0,116.96743402582818,COVERS
218213936,28949579,SYDNEY,17200,10000.0,30.0,300000.0,3600000.0,11,29988.0,120.04801920768307,COVERS
215193772,28514615,SYDNEY,17200,5000.083333333333,30.0,150002.5,1800030.0,11,29988.0,60.0250100040016,COVERS
180768739,24066582,BATHURST REGIONAL,10470,4307.692307692308,30.0,129230.76923076923,1550769.2307692308,12,20040.0,77.38369415016122,COVERS
66983004,12389203,INNER WEST,14170,3999.923076923077,30.0,119997.69230769231,1439972.3076923077,12,31200.0,46.152958579881656,COVERS
36765852,7013003,SYDNEY,17200,3452.923076923077,30.0,103587.69230769231,1243052.3076923077,12,29988.0,41.45165758611137,COVERS
281600068,38074579,WOOLLAHRA,18500,4200.0,22.923076923076923,96707.69230769231,1160492.3076923077,12,38400.0,30.221153846153847,COVERS
23446220,4522635,WAVERLEY,18050,3000.0,30.0,90000.0,1080000.0,12,36000.0,30.0,COVERS
223060169,29155008,WAVERLEY,18050,4241.461538461538,18.76923076923077,79571.76923076923,954861.2307692308,12,36000.0,26.523923076923076,COVERS
27719662,7423332,NORTHERN BEACHES,15990,2500.0,30.0,75000.0,900000.0,12,33600.0,26.785714285714285,COVERS
123514817,41724189,NORTHERN BEACHES,15990,2995.0,23.384615384615383,70036.30769230769,840435.6923076923,12,33600.0,25.012967032967033,COVERS
39758463,9097566,WAVERLEY,18050,2200.0,30.0,66000.0,792000.0,6,36000.0,22.0,COVERS
59206237,28392936,NORTHERN BEACHES,15990,2115.4615384615386,30.0,63463.846153846156,761566.1538461539,12,33600.0,22.665659340659342,COVERS
55815232,10834186,LANE COVE,14700,2059.5384615384614,30.0,61786.153846153844,741433.8461538461,12,31200.0,23.763905325443787,COVERS
51368248,16195023,MOSMAN,15350,2000.0,30.0,60000.0,720000.0,12,36000.0,20.0,COVERS
5761984,20791890,WAVERLEY,18050,1850.1538461538462,30.0,55504.61538461538,666055.3846153846,12,36000.0,18.501538461538463,COVERS
106194148,27347527,NORTHERN BEACHES,15990,1941.6923076923076,26.23076923076923,51821.769230769234,621861.2307692308,12,33600.0,18.507774725274725,COVERS
15289532,2999187,NORTHERN BEACHES,15990,1700.076923076923,30.0,51002.307692307695,612027.6923076923,12,33600.0,18.21510989010989,COVERS
4980997,37866409,SYDNEY,17200,1692.5833333333333,30.0,50777.5,609330.0,11,29988.0,20.319127651060423,COVERS
169353053,34000922,NORTHERN BEACHES,15990,1615.4615384615386,30.0,48463.846153846156,581566.1538461539,12,33600.0,17.308516483516485,COVERS
61174639,13514911,NORTH SYDNEY,15950,1615.3846153846155,30.0,48461.53846153846,581538.4615384615,12,31200.0,18.63905325443787,COVERS
118420780,21916782,RANDWICK,16550,1603.923076923077,30.0,48117.692307692305,577412.3076923077,12,31200.0,18.50680473372781,COVERS
6594500,29865765,SYDNEY,17200,11111.076923076924,4.076923076923077,45298.846153846156,543586.1538461539,12,29988.0,18.126789177209346,COVERS
130505981,21296241,NORTH SYDNEY,15950,1500.0,30.0,45000.0,540000.0,6,31200.0,17.307692307692307,COVERS
6419242,20990812,WOOLLAHRA,18500,1500.0,30.0,45000.0,540000.0,12,38400.0,14.0625,COVERS
28941397,10017940,WOOLLAHRA,18500,1499.923076923077,30.0,44997.692307692305,539972.3076923077,12,38400.0,14.061778846153846,COVERS
6513270,32384612,RANDWICK,16550,1499.923076923077,30.0,44997.692307692305,539972.3076923077,12,31200.0,17.306804733727812,COVERS
51095594,9942247,WAVERLEY,18050,1499.923076923077,30.0,44997.692307692305,539972.3076923077,12,36000.0,14.999230769230769,COVERS
46745174,9102568,WAVERLEY,18050,1499.923076923077,30.0,44997.692307692305,539972.3076923077,12,36000.0,14.999230769230769,COVERS
20879541,6494981,WAVERLEY,18050,1499.923076923077,30.0,44997.692307692305,539972.3076923077,12,36000.0,14.999230769230769,COVERS
9675555,10473100,HUNTERS HILL,14100,1499.6666666666667,30.0,44990.0,539880.0,3,36396.0,14.833498186613914,COVERS
14768623,4424433,WAVERLEY,18050,3500.0,12.846153846153847,44961.53846153846,539538.4615384615,12,36000.0,14.987179487179487,COVERS
25211735,17449168,WOOLLAHRA,18500,1489.9166666666667,30.0,44697.5,536370.0,11,38400.0,13.96796875,COVERS
6707250,28992620,WAVERLEY,18050,1453.0,30.0,43590.0,523080.0,12,36000.0,14.53,COVERS
105870632,16207076,WAVERLEY,18050,1450.1538461538462,30.0,43504.61538461538,522055.3846153846,12,36000.0,14.50153846153846,COVERS
172434932,23191300,WAVERLEY,18050,1500.0,29.0,43500.0,522000.0,12,36000.0,14.5,COVERS
325651199,41404281,RANDWICK,16550,1449.0,30.0,43470.0,521640.0,12,31200.0,16.71923076923077,COVERS
261908981,34723784,NORTHERN BEACHES,15990,1675.0,25.166666666666668,42274.166666666664,507290.0,5,33600.0,15.097916666666666,COVERS
236355258,37299280,NORTHERN BEACHES,15990,1850.0,22.846153846153847,42265.38461538462,507184.6153846154,12,33600.0,15.094780219780219,COVERS
88251534,32770446,WAVERLEY,18050,1400.0833333333333,30.0,42002.5,504030.0,11,36000.0,14.000833333333333,COVERS
25414110,40311077,NORTHERN BEACHES,15990,1400.076923076923,30.0,42002.307692307695,504027.6923076923,12,33600.0,15.000824175824176,COVERS
54175852,10507482,NORTHERN BEACHES,15990,1663.0,24.384615384615383,41523.307692307695,498279.6923076923,12,33600.0,14.829752747252748,COVERS
9476992,39162553,NORTHERN BEACHES,15990,1849.9166666666667,21.666666666666668,41424.833333333336,497098.0,11,33600.0,14.794583333333334,COVERS
276557239,36901371,SYDNEY,17200,2286.0,18.0,41148.0,493776.0,1,29988.0,16.46578631452581,COVERS
230688038,39900080,NORTHERN BEACHES,15990,1500.0,27.384615384615383,41076.92307692308,492923.07692307694,12,33600.0,14.67032967032967,COVERS
66503680,14656800,WOOLLAHRA,18500,1449.923076923077,28.23076923076923,40932.307692307695,491187.6923076923,12,38400.0,12.791346153846154,COVERS
12852399,9187968,NORTHERN BEACHES,15990,1499.923076923077,26.923076923076923,40382.307692307695,484587.6923076923,12,33600.0,14.422252747252747,COVERS
15254974,2991742,MOSMAN,15350,1849.923076923077,21.384615384615383,39559.230769230766,474710.76923076925,12,36000.0,13.186410256410257,COVERS
95484889,40181735,WAVERLEY,18050,1300.3333333333333,30.0,39010.0,468120.0,3,36000.0,13.003333333333334,COVERS
31256689,31059304,NORTHERN BEACHES,15990,1300.0,30.0,39000.0,468000.0,11,33600.0,13.928571428571429,COVERS
30934971,34481503,NORTHERN BEACHES,15990,1300.0,30.0,39000.0,468000.0,11,33600.0,13.928571428571429,COVERS
53257882,11514896,WAVERLEY,18050,1300.0,30.0,39000.0,468000.0,11,36000.0,13.0,COVERS
20715207,3995688,NORTHERN BEACHES,15990,1294.923076923077,30.0,38847.692307692305,466172.3076923077,12,33600.0,13.874175824175824,COVERS
223591807,30017401,NORTHERN BEACHES,15990,1292.3846153846155,30.0,38771.53846153846,465258.46153846156,12,33600.0,13.846978021978023,COVERS
66867600,35522278,MOSMAN,15350,1269.2307692307693,30.0,38076.92307692308,456923.07692307694,12,36000.0,12.692307692307692,COVERS
68295718,22817380,WAVERLEY,18050,1394.0,28.0,37820.0,453840.0,5,36000.0,12.606666666666667,COVERS
35933577,6856839,NORTHERN BEACHES,15990,1250.0833333333333,30.0,37502.5,450030.0,11,33600.0,13.39375,COVERS
91178687,39211783,NORTHERN BEACHES,15990,1250.076923076923,30.0,37502.307692307695,450027.6923076923,12,33600.0,13.393681318681319,COVERS
125970082,20984191,RANDWICK,16550,1250.076923076923,30.0,37502.307692307695,450027.6923076923,12,31200.0,14.42396449704142,COVERS
