lga_name,lga_code,total_hosts,hosts_that_cover,hosts_that_dont_cover,coverage_percentage,avg_annual_revenue,avg_mortgage_repayment,avg_coverage_ratio
BATHURST REGIONAL,10470,6,5,1,83.33,301382.31,20040.0,15.04
UPPER HUNTER SHIRE,17620,101,80,21,79.21,57958.64,20256.0,2.86
NORTHERN BEACHES,15990,1205,919,286,76.27,97937.66,33600.0,2.91
SUTHERLAND SHIRE,17150,116,75,41,64.66,54036.26,29124.0,1.86
DUNGOG,12700,43,27,16,62.79,38641.22,19944.0,1.94
MOSMAN,15350,228,143,85,62.72,86234.71,36000.0,2.4
WAVERLEY,18050,2739,1604,1135,58.56,66072.08,36000.0,1.84
SYDNEY,17200,3574,2082,1492,58.25,45951.81,29988.0,1.53
NORTH SYDNEY,15950,645,370,275,57.36,48772.68,31200.0,1.56
RANDWICK,16550,1582,881,701,55.69,52834.51,31200.0,1.69
INNER WEST,14170,1479,754,725,50.98,45972.68,31200.0,1.47
WILLOUGHBY,18250,177,90,87,50.85,79841.19,34524.0,2.31
LANE COVE,14700,182,89,93,48.9,57297.93,31200.0,1.84
WOOLLAHRA,18500,518,251,267,48.46,59310.17,38400.0,1.54
SINGLETON,17000,64,30,34,46.88,29877.09,23400.0,1.28
CANADA BAY,11520,176,82,94,46.59,43095.07,30000.0,1.44
HUNTERS HILL,14100,63,27,36,42.86,56562.76,36396.0,1.55
RYDE,16700,14,6,8,42.86,30470.03,26400.0,1.15
HAWKESBURY,13800,5,2,3,40.0,26775.69,24960.0,1.07
STRATHFIELD,17100,41,15,26,36.59,23256.63,26004.0,0.89
BAYSIDE,11100,698,244,454,34.96,28370.86,28800.0,0.99
BURWOOD,11300,129,45,84,34.88,24251.01,26400.0,0.92
CANTERBURY-BANKSTOWN,11570,222,76,146,34.23,22123.58,24000.0,0.92
GEORGES RIVER,12930,93,27,66,29.03,22264.49,26004.0,0.86
PARRAMATTA,16260,50,13,37,26.0,19010.45,26004.0,0.73
